Dataset,Group,Mode,Algorithm,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Time_s,n_samples,n_classes,IR
libras,B,vanilla,Stacking,0.9667,0.0142,0.6421,0.1863,0.251,360,2,14.0
libras,B,vanilla,XGBoost,0.9639,0.0111,0.6676,0.074,0.047,360,2,14.0
libras,B,vanilla,LGBM,0.9667,0.0142,0.6714,0.1795,0.08,360,2,14.0
libras,B,vanilla,RFF_binary,0.9333,0.0056,0.0,0.0,0.109,360,2,14.0
libras,B,oversample,LogReg,0.9866,0.0128,0.9862,0.0134,0.006,672,2,14.0
libras,B,oversample,Bagging,0.9925,0.0067,0.9924,0.0068,0.302,672,2,14.0
libras,B,oversample,RandomForest,1.0,0.0,1.0,0.0,0.129,672,2,14.0
libras,B,oversample,AdaBoost,1.0,0.0,1.0,0.0,0.17,672,2,14.0
libras,B,oversample,GradBoost,0.9985,0.003,0.9985,0.003,0.695,672,2,14.0
libras,B,oversample,Stacking,0.9985,0.003,0.9985,0.003,0.295,672,2,14.0
libras,B,oversample,XGBoost,0.9985,0.003,0.9985,0.003,0.079,672,2,14.0
libras,B,oversample,LGBM,0.9955,0.009,0.9954,0.0092,0.115,672,2,14.0
libras,B,oversample,RFF_binary,0.9375,0.0078,0.9349,0.0088,0.143,672,2,14.0
libras,B,cost_sensitive,LogReg,0.9556,0.0387,0.7491,0.1932,0.005,360,2,14.0
libras,B,cost_sensitive,Bagging,0.9583,0.0152,0.569,0.1566,0.326,360,2,14.0
libras,B,cost_sensitive,RandomForest,0.9667,0.0142,0.6524,0.184,0.104,360,2,14.0
libras,B,cost_sensitive,AdaBoost,0.9778,0.0111,0.7913,0.1212,0.134,360,2,14.0
libras,B,cost_sensitive,GradBoost,0.9722,0.0088,0.7254,0.105,0.558,360,2,14.0
libras,B,cost_sensitive,Stacking,0.9722,0.0196,0.7024,0.2316,0.248,360,2,14.0
libras,B,cost_sensitive,XGBoost,0.9639,0.0111,0.6676,0.074,0.043,360,2,14.0
libras,B,cost_sensitive,LGBM,0.9694,0.0104,0.719,0.0954,0.085,360,2,14.0
libras,B,cost_sensitive,RFF_binary,0.9333,0.0056,0.0,0.0,0.104,360,2,14.0
pageblocks,B,vanilla,LogReg,0.949,0.0026,0.7199,0.0158,0.007,5473,2,8.77
pageblocks,B,vanilla,Bagging,0.9733,0.0045,0.8677,0.0238,0.845,5473,2,8.77
pageblocks,B,vanilla,RandomForest,0.9751,0.0026,0.877,0.0132,0.585,5473,2,8.77
pageblocks,B,vanilla,AdaBoost,0.9583,0.004,0.7868,0.0217,0.168,5473,2,8.77
pageblocks,B,vanilla,GradBoost,0.9744,0.0028,0.8721,0.0154,0.675,5473,2,8.77
pageblocks,B,vanilla,Stacking,0.9742,0.0023,0.8681,0.0138,1.609,5473,2,8.77
pageblocks,B,vanilla,XGBoost,0.9739,0.003,0.8706,0.015,0.104,5473,2,8.77
pageblocks,B,vanilla,LGBM,0.9735,0.0026,0.8685,0.0128,0.131,5473,2,8.77
pageblocks,B,vanilla,RFF_binary,0.8977,0.0,0.0,0.0,0.23,5473,2,8.77
pageblocks,B,oversample,LogReg,0.9078,0.004,0.9061,0.0042,0.014,9826,2,8.77
pageblocks,B,oversample,Bagging,0.9901,0.0015,0.9902,0.0014,0.849,9826,2,8.77
pageblocks,B,oversample,RandomForest,0.9909,0.002,0.991,0.002,0.635,9826,2,8.77
pageblocks,B,oversample,AdaBoost,0.9405,0.0072,0.9404,0.0072,0.231,9826,2,8.77
pageblocks,B,oversample,GradBoost,0.981,0.0026,0.9812,0.0025,0.956,9826,2,8.77
pageblocks,B,oversample,Stacking,0.9933,0.0017,0.9933,0.0017,5.159,9826,2,8.77
pageblocks,B,oversample,XGBoost,0.9907,0.0022,0.9908,0.0022,0.273,9826,2,8.77
pageblocks,B,oversample,LGBM,0.9902,0.0028,0.9903,0.0027,0.142,9826,2,8.77
pageblocks,B,oversample,RFF_binary,0.8108,0.0049,0.7841,0.0035,0.345,9826,2,8.77
pageblocks,B,cost_sensitive,LogReg,0.922,0.0083,0.7018,0.0217,0.009,5473,2,8.77
pageblocks,B,cost_sensitive,Bagging,0.9733,0.0045,0.8677,0.0238,0.932,5473,2,8.77
pageblocks,B,cost_sensitive,RandomForest,0.9741,0.0029,0.8693,0.0159,0.498,5473,2,8.77
pageblocks,B,cost_sensitive,AdaBoost,0.9583,0.004,0.7868,0.0217,0.189,5473,2,8.77
pageblocks,B,cost_sensitive,GradBoost,0.9744,0.0028,0.8721,0.0154,0.766,5473,2,8.77
pageblocks,B,cost_sensitive,Stacking,0.9744,0.0022,0.8689,0.0133,1.822,5473,2,8.77
pageblocks,B,cost_sensitive,XGBoost,0.9739,0.003,0.8706,0.015,0.201,5473,2,8.77
pageblocks,B,cost_sensitive,LGBM,0.9713,0.0027,0.8633,0.0135,0.138,5473,2,8.77
pageblocks,B,cost_sensitive,RFF_binary,0.8977,0.0,0.0,0.0,0.269,5473,2,8.77
segmentation,B,vanilla,LogReg,0.9087,0.0107,0.6397,0.0317,0.004,2310,2,6.0
segmentation,B,vanilla,Bagging,0.9766,0.004,0.9152,0.0149,0.431,2310,2,6.0
segmentation,B,vanilla,RandomForest,0.9801,0.0078,0.9275,0.029,0.246,2310,2,6.0
segmentation,B,vanilla,AdaBoost,0.9338,0.011,0.7565,0.0406,0.168,2310,2,6.0
segmentation,B,vanilla,GradBoost,0.9771,0.0136,0.9156,0.0509,0.685,2310,2,6.0
segmentation,B,vanilla,Stacking,0.9792,0.0067,0.9239,0.0247,1.007,2310,2,6.0
segmentation,B,vanilla,XGBoost,0.9848,0.0074,0.9454,0.0273,0.123,2310,2,6.0
segmentation,B,vanilla,LGBM,0.9861,0.0076,0.9501,0.0281,0.117,2310,2,6.0
segmentation,B,vanilla,RFF_binary,0.8571,0.0,0.0,0.0,0.14,2310,2,6.0
segmentation,B,oversample,LogReg,0.8821,0.0112,0.887,0.0098,0.007,3960,2,6.0
segmentation,B,oversample,Bagging,0.9904,0.0023,0.9905,0.0023,0.647,3960,2,6.0
segmentation,B,oversample,RandomForest,0.9932,0.0027,0.9932,0.0027,0.356,3960,2,6.0
segmentation,B,oversample,AdaBoost,0.9513,0.0088,0.953,0.0086,0.216,3960,2,6.0
segmentation,B,oversample,GradBoost,0.9841,0.0022,0.9843,0.0021,0.896,3960,2,6.0
segmentation,B,oversample,Stacking,0.9965,0.0012,0.9965,0.0012,1.97,3960,2,6.0
segmentation,B,oversample,XGBoost,0.9952,0.0029,0.9952,0.0029,0.204,3960,2,6.0
segmentation,B,oversample,LGBM,0.9934,0.0031,0.9935,0.0031,0.113,3960,2,6.0
segmentation,B,oversample,RFF_binary,0.7404,0.0182,0.7937,0.0116,0.253,3960,2,6.0
segmentation,B,cost_sensitive,LogReg,0.8498,0.0236,0.6408,0.0356,0.006,2310,2,6.0
segmentation,B,cost_sensitive,Bagging,0.9766,0.004,0.9152,0.0149,0.439,2310,2,6.0
segmentation,B,cost_sensitive,RandomForest,0.9792,0.0079,0.9238,0.0302,0.242,2310,2,6.0
segmentation,B,cost_sensitive,AdaBoost,0.9338,0.011,0.7565,0.0406,0.169,2310,2,6.0
segmentation,B,cost_sensitive,GradBoost,0.9771,0.0136,0.9156,0.0509,0.775,2310,2,6.0
segmentation,B,cost_sensitive,Stacking,0.9792,0.0067,0.9239,0.0247,0.89,2310,2,6.0
segmentation,B,cost_sensitive,XGBoost,0.9848,0.0074,0.9454,0.0273,0.12,2310,2,6.0
segmentation,B,cost_sensitive,LGBM,0.9835,0.0073,0.9428,0.025,0.132,2310,2,6.0
segmentation,B,cost_sensitive,RFF_binary,0.8571,0.0,0.0,0.0,0.133,2310,2,6.0
vehicle,B,vanilla,LogReg,0.9634,0.0146,0.9235,0.0291,0.004,846,2,3.25
vehicle,B,vanilla,Bagging,0.9516,0.0195,0.8976,0.0412,0.116,846,2,3.25
vehicle,B,vanilla,RandomForest,0.9634,0.0136,0.9218,0.0299,0.113,846,2,3.25
vehicle,B,vanilla,AdaBoost,0.9622,0.0137,0.9206,0.0271,0.073,846,2,3.25
vehicle,B,vanilla,GradBoost,0.9646,0.0105,0.9239,0.024,0.193,846,2,3.25
vehicle,B,vanilla,Stacking,0.9669,0.0177,0.929,0.038,0.431,846,2,3.25
vehicle,B,vanilla,XGBoost,0.9645,0.0135,0.9244,0.0276,0.13,846,2,3.25
vehicle,B,vanilla,LGBM,0.9669,0.0096,0.9291,0.0195,0.299,846,2,3.25
vehicle,B,vanilla,RFF_binary,0.773,0.0081,0.1037,0.0954,0.098,846,2,3.25
vehicle,B,oversample,LogReg,0.9683,0.0113,0.9687,0.0111,0.005,1294,2,3.25
vehicle,B,oversample,Bagging,0.9753,0.0063,0.9756,0.0062,0.17,1294,2,3.25
vehicle,B,oversample,RandomForest,0.9791,0.0076,0.9794,0.0075,0.139,1294,2,3.25
vehicle,B,oversample,AdaBoost,0.9614,0.0115,0.9624,0.0108,0.078,1294,2,3.25
vehicle,B,oversample,GradBoost,0.9776,0.0089,0.9779,0.0087,0.229,1294,2,3.25
vehicle,B,oversample,Stacking,0.9815,0.0089,0.9816,0.0088,0.475,1294,2,3.25
